,SPY,QQQ,EEM,VT,ESGV,VSGX,VTI,GLD,cash_balance,total_value
2020-10-10,10,5,0,0,0,0,0,0,10000.0,14897.050018310547
2020-10-11,10,5,0,0,0,0,0,0,10000.0,14897.050018310547
2020-10-12,10,5,0,0,0,0,0,0,10000.0,14996.949920654297
2020-10-13,10,5,0,0,0,0,0,0,10000.0,14973.899993896484
2020-10-14,10,5,0,0,0,0,0,0,10000.0,14939.599914550781
2020-10-15,11,6,1,0,1,0,1,0,9074.57999420166,14925.500030517578
2020-10-16,12,7,2,0,2,0,2,0,8151.179973602295,14913.43014907837
2020-10-17,12,7,2,0,2,0,2,0,8151.179973602295,14913.43014907837
2020-10-18,12,7,2,0,2,0,2,0,8151.179973602295,14913.43014907837
2020-10-19,12,8,3,0,3,0,3,0,7583.399990081787,14809.859996795654
2020-10-20,13,9,4,0,4,0,4,0,6670.319984436035,14835.110069274902
2020-10-21,13,10,5,0,5,0,5,0,6101.489974975586,14822.080177307129
2020-10-22,14,11,6,0,6,0,6,0,5186.5700035095215,14853.869678497314
2020-10-23,15,12,7,1,7,0,7,0,4185.310024261475,14883.3698387146
2020-10-24,15,12,7,1,7,0,7,0,4185.310024261475,14883.3698387146
2020-10-25,15,12,7,1,7,0,7,0,4185.310024261475,14883.3698387146
2020-10-26,15,13,8,1,8,0,7,0,3796.1600227355957,14699.940296173096
2020-10-27,15,14,9,1,9,0,7,0,3404.7200202941895,14706.41003036499
2020-10-28,15,15,9,1,9,0,7,0,3133.080005645752,14306.660274505615
2020-10-29,15,16,10,1,9,0,7,0,2811.4699897766113,14448.820407867432
2020-10-30,15,17,10,1,9,0,7,0,2542.089984893799,14259.53023147583
2020-10-31,15,17,10,1,9,0,7,0,2542.089984893799,14259.53023147583
2020-11-01,15,17,10,1,9,0,7,0,2542.089984893799,14259.53023147583
2020-11-02,15,18,11,1,9,0,7,0,2226.829975128174,14348.350330352783
2020-11-03,15,19,12,1,10,0,7,0,1844.3999824523926,14557.229846954346
2020-11-04,15,20,13,1,11,0,8,0,1270.9899787902832,14963.460178375244
2020-11-05,16,21,14,2,12,1,9,0,194.98997497558594,15270.600131988525
2020-11-06,17,22,15,3,13,2,10,0,-881.4700126647949,15275.949710845947
2020-11-07,17,22,15,3,13,2,10,0,-881.4700126647949,15275.949710845947
2020-11-08,17,22,15,3,13,2,10,0,-881.4700126647949,15275.949710845947
2020-11-09,18,23,16,4,14,3,11,0,-1961.2800064086914,15254.2398147583
2020-11-10,19,24,17,5,15,4,12,0,-3034.3700218200684,15110.200359344482
2020-11-11,20,25,18,6,16,5,13,0,-4119.830039978027,15349.20044708252
2020-11-12,21,26,19,7,17,6,14,0,-5196.100017547607,15197.769546508789
2020-11-13,22,27,20,8,18,7,15,0,-6285.700023651123,15440.460063934326
2020-11-14,22,27,20,8,18,7,15,0,-6285.700023651123,15440.460063934326
2020-11-15,22,27,20,8,18,7,15,0,-6285.700023651123,15440.460063934326
2020-11-16,23,28,21,9,19,8,16,0,-7387.080039978027,15669.680450439453
2020-11-17,24,29,22,10,20,9,17,0,-8484.810024261475,15586.01955795288
2020-11-18,25,30,23,11,21,10,18,0,-9572.180004119873,15358.019435882568
2020-11-19,26,31,24,12,22,11,19,0,-10665.53999710083,15499.629955291748
2020-11-20,27,32,25,13,23,12,20,0,-11753.569984436035,15356.2297706604
2020-11-21,27,32,25,13,23,12,20,0,-11753.569984436035,15356.2297706604
2020-11-22,27,32,25,13,23,12,20,0,-11753.569984436035,15356.2297706604
2020-11-23,28,33,26,14,24,13,21,0,-12846.319980621338,15463.980052947998
2020-11-24,29,34,27,15,25,14,22,0,-13955.389980316162,15886.950023651123
2020-11-25,30,35,28,16,26,15,23,0,-15065.099990844727,15919.81025314331
2020-11-26,30,35,28,16,26,15,23,0,-15065.099990844727,15919.81025314331
2020-11-27,31,36,29,17,27,16,24,0,-16181.0,16098.31046295166
2020-11-28,31,36,29,17,27,16,24,0,-16181.0,16098.31046295166
2020-11-29,31,36,29,17,27,16,24,0,-16181.0,16098.31046295166
2020-11-30,32,37,30,18,28,17,25,0,-17290.639987945557,15953.1296043396
2020-12-01,33,38,31,19,29,18,26,0,-18414.649974822998,16374.739479064941
2020-12-02,34,39,32,20,30,19,27,0,-19540.12998199463,16423.13031768799
2020-12-03,35,40,33,21,31,20,28,0,-20667.479988098145,16477.060180664062
2020-12-04,36,41,34,22,32,21,29,0,-21803.6199760437,16754.70960998535
2020-12-05,36,41,34,22,32,21,29,0,-21803.6199760437,16754.70960998535
2020-12-06,36,41,34,22,32,21,29,0,-21803.6199760437,16754.70960998535
